[2025-05-19 19:09:20.528] 
[2025-05-19 19:09:20.528] 1.159
[2025-05-19 19:09:20.538] 1.159
[2025-05-19 19:09:20.538] 1.160
[2025-05-19 19:09:20.538] 1.160
[2025-05-19 19:09:20.538] 1.161
[2025-05-19 19:09:20.538] 1.160
[2025-05-19 19:09:20.538] 1.161
[2025-05-19 19:09:20.538] 1.161
[2025-05-19 19:09:20.538] 1.161
[2025-05-19 19:09:20.538] 1.161
[2025-05-19 19:09:20.538] 1.161
[2025-05-19 19:09:20.538] 1.161
[2025-05-19 19:09:20.538] 1.160
[2025-05-19 19:09:20.538] 1.160
[2025-05-19 19:09:20.538] 1.160
[2025-05-19 19:09:20.538] 1.160
[2025-05-19 19:09:20.538] 1.160
[2025-05-19 19:09:20.538] 1.160
[2025-05-19 19:09:20.538] 1.160
[2025-05-19 19:09:20.538] 1.159
[2025-05-19 19:09:20.538] 1.159
[2025-05-19 19:09:20.538] 1.159
[2025-05-19 19:09:20.538] 1.159
[2025-05-19 19:09:20.538] 1.159
[2025-05-19 19:09:20.538] 1.159
[2025-05-19 19:09:20.538] 1.159
[2025-05-19 19:09:20.538] 1.160
[2025-05-19 19:09:20.538] 1.159
[2025-05-19 19:09:20.538] 1.158
[2025-05-19 19:09:20.538] 1.158
[2025-05-19 19:09:20.538] 1.159
[2025-05-19 19:09:20.554] 1.159
[2025-05-19 19:09:20.554] 1.159
[2025-05-19 19:09:20.554] 1.159
[2025-05-19 19:09:20.554] 1.159
[2025-05-19 19:09:20.554] 1.159
[2025-05-19 19:09:20.554] 1.159
[2025-05-19 19:09:20.554] 1.159
[2025-05-19 19:09:20.554] 1.159
[2025-05-19 19:09:20.554] 1.159
[2025-05-19 19:09:20.554] 1.160
[2025-05-19 19:09:20.554] 1.159
[2025-05-19 19:09:20.554] 1.159
[2025-05-19 19:09:20.554] 1.159
[2025-05-19 19:09:20.554] 1.159
[2025-05-19 19:09:20.554] 1.159
[2025-05-19 19:09:20.554] 1.159
[2025-05-19 19:09:20.554] 1.160
